,examples,intents
0,Привет честной компании,hello
1,Нихао,hello
2,Привет машина,hello
3,Хеллоу,hello
4,Вопрос. Сколько стоит обучение?,hello
5,Здравия желаю,hello
6,Приветствую Вас,hello
7,алоха,hello
8,Привяу,hello
9,Дратути,hello
10,Приветули,hello
11,Приветствую!,hello
12,рад видеть снова,hello
13,приятно видеть тебя снова,hello
14,Доброе утро,hello
15,привет,hello
16,Сколько лет сколько зим,hello
17,Хэллоу,hello
18,Здравствуйте,hello
19,Hi,hello
20,Хэлоу,hello
21,Приветухи,hello
22,Добрый день!,hello
23,"Здорово, чурбан электронный",hello
24,hi,hello
25,Рад приветствовать Вас,hello
26,салют,hello
27,Добрый вечер,hello
28,Чё кого,hello
29,Даров,hello
30,Hello,hello
31,Hola,hello
32,Дозвольте приветствовать Вас,hello
33,Привет,hello
34,Вечер в хату,hello
35,Приветствую вас,hello
36,Какие люди,hello
37,гутентаг,hello
38,здарямба,hello
39,Доброго времени суток!,hello
40,здорова,hello
41,Эрик?,hello
42,Доброго здравия,hello
43,хай,hello
44,Приветики,hello
45,салям,hello
46,Бонжур,hello
47,Бодрого утречка,hello
48,Салют!Здоровеньки булы,hello
49,А что мы тут делаем,hello
50,Доброго утра,hello
51,Доброй ночи,hello
52,здрасьте,hello
53,простоздравствуй,hello
54,Дороу,hello
55,Салям Алейкум,hello
56,моё почтение,hello
57,здравствуйте,hello
58,Здорово,hello
59,хело,hello
60,Доброго здоровья,hello
61,Срочно нужна помощь!,hello
62,Доброго времени суток,hello
63,Хело,hello
64,Приятный день,hello
65,Чао,hello
66,шелом,hello
67,Здрасьте,hello
68,Hi there,hello
69,приветули,hello
70,"Привет, бро",hello
71,здоровеньки,hello
72,Прет,hello
73,Ghbdtn,hello
74,Салам пополам,hello
75,здарова,hello
76,"Здарова, шо там?",hello
77,Дарова,hello
78,"Але,а кто это?",hello
79,прив,hello
80,"Беригите печень, никто не вечен",hello
81,Добрый день,hello
82,Кукусики,hello
83,хеллоу,hello
84,Good afternooт,hello
85,доброеутро,hello
86,Доброе время суток,hello
87,Мир вам,hello
88,Сердечный привет вам,hello
89,Хэлло,hello
90,Здоров,hello
91,как дела?,hello
92,Да здравствует Бог-Император Человечества,hello
93,коничива,hello
94,вечер в хату,hello
95,Алло,hello
96,Доброго вечера,hello
97,Салютик,hello
98,Как дела?,hello
99,ку,hello
100,Трям,hello
101,Доброго дня,hello
102,Эй,hello
103,Че как,hello
104,шалом,hello
105,прием,hello
106,Йоу,hello
107,бонжур,hello
108,етйувтсвардз,hello
109,Здоровеньки булы,hello
110,салам,hello
111,Салам,hello
112,доброевремясуток,hello
113,доброго времени суток,hello
114,Хелло,hello
115,доброе утро,hello
116,Здравствуйте!,hello
117,"Привет, железяка",hello
118,добрыйдень,hello
119,здасти,hello
120,Приветик,hello
121,Приятный вечер,hello
122,добрыйвечер,hello
123,ку-ку,hello
124,Рад вас видеть,hello
125,Какая встреча,hello
126,Здравствуй,hello
127,))),hello
128,Наше вам с кисточкой,hello
129,Ваззап,hello
130,Здрям,hello
131,Мир вашему дому,hello
132,Здорово чувак,hello
133,тевирп,hello
134,Здарова,hello
135,С добрым вечером,hello
136,Хаю-Хай,hello
137,Ку,hello
138,Как дела,hello
139,Хай,hello
140,Тут бот или человек?,hello
141,приветик,hello
142,Утра,hello
143,Салют,hello
144,Привет. Есть тут кто?,hello
145,рад видеть тебя снова,hello
146,Гутен морген,hello
147,Шалом,hello
148,авемария,hello
149,ассалам алейкум,hello
150,Я пришел с миром,hello
151,Разрешите Вас приветствовать,hello
152,Дароу,hello
153,хей,hello
154,hello,hello
155,трям,hello
156,Shalom,hello
157,С добрым утром,hello
158,Рад вам,hello
159,Всем доброго дня,hello
160,Однако здравствуйте,hello
161,Рад Вас видеть,hello
162,Wats's up,hello
163,нихао,hello
164,Рад вас приветствовать,hello
165,Сап,hello
166,рад встрече,hello
167,qq,hello
168,Приветствую,hello
169,Благословенен будь твой день,hello
170,Тысячу лет вас не видел,hello
171,Здарова!,hello
172,Здаров,hello
173,добрый день,hello
174,Сердечно рад вам,hello
175,Хей,hello
176,Чё как?,hello
177,Здр,hello
178,добрый вечер,hello
179,Наконец-то дозвонился!,hello
180,приветствую,hello
181,Хаюшки,hello
182,салам алейкум,hello
183,Прива,hello
184,Bye,bye
185,удались,bye
186,покедова,bye
187,адиос,bye
188,"Всё, будь здоров",bye
189,акоп,bye
190,Давай,bye
191,На созвоне,bye
192,Всего наилучшего!,bye
193,ауфидерзейн,bye
194,пока,bye
195,Досвидули,bye
196,довстречи,bye
